verb,person,future_active,present_perfect_active,past_perfect_active,future_passive,present_perfect_passive,past_perfect_passive
avoir,je,aurai,ai eu,avais eu,serai eu,ai été eu,avais été eu
avoir,tu,auras,as eu,avais eu,seras eu,as été eu,avais été eu
avoir,il,aura,a eu,avait eu,sera eu,a été eu,avait été eu
avoir,elle,aura,a eu,avait eu,sera eu,a été eu,avait été eu
avoir,on,aura,a eu,avait eu,sera eu,a été eu,avait été eu
avoir,nous,aurons,avons eu,avions eu,serons eus,avons été eus,avions été eus
avoir,vous,aurez,avez eu,aviez eu,serez eus,avez été eus,aviez été eus
avoir,ils,auront,ont eu,avaient eu,seront eus,ont été eus,avaient été eus
avoir,elles,auront,ont eu,avaient eu,seront eus,ont été eus,avaient été eus
donner,je,donnerai,ai donné,avais donné,serai donné,ai été donné,avais été donné
donner,tu,donneras,as donné,avais donné,seras donné,as été donné,avais été donné
donner,il,donnera,a donné,avait donné,sera donné,a été donné,avait été donné
donner,elle,donnera,a donné,avait donné,sera donné,a été donné,avait été donné
donner,on,donnera,a donné,avait donné,sera donné,a été donné,avait été donné
donner,nous,donnerons,avons donné,avions donné,serons donnés,avons été donnés,avions été donnés
donner,vous,donnerez,avez donné,aviez donné,serez donnés,avez été donnés,aviez été donnés
donner,ils,donneront,ont donné,avaient donné,seront donnés,ont été donnés,avaient été donnés
donner,elles,donneront,ont donné,avaient donné,seront donnés,ont été donnés,avaient été donnés
prendre,je,prendrai,ai pris,avais pris,serai pris,ai été pris,avais été pris
prendre,tu,prendras,as pris,avais pris,seras pris,as été pris,avais été pris
prendre,il,prendra,a pris,avait pris,sera pris,a été pris,avait été pris
prendre,elle,prendra,a pris,avait pris,sera pris,a été pris,avait été pris
prendre,on,prendra,a pris,avait pris,sera pris,a été pris,avait été pris
prendre,nous,prendrons,avons pris,avions pris,serons pris,avons été pris,avions été pris
prendre,vous,prendrez,avez pris,aviez pris,serez pris,avez été pris,aviez été pris
prendre,ils,prendront,ont pris,avaient pris,seront pris,ont été pris,avaient été pris
prendre,elles,prendront,ont pris,avaient pris,seront pris,ont été pris,avaient été pris
recevoir,je,recevrai,ai reçu,avais reçu,serai reçu,ai été reçu,avais été reçu
recevoir,tu,recevras,as reçu,avais reçu,seras reçu,as été reçu,avais été reçu
recevoir,il,recevra,a reçu,avait reçu,sera reçu,a été reçu,avait été reçu
recevoir,elle,recevra,a reçu,avait reçu,sera reçu,a été reçu,avait été reçu
recevoir,on,recevra,a reçu,avait reçu,sera reçu,a été reçu,avait été reçu
recevoir,nous,recevrons,avons reçu,avions reçu,serons reçus,avons été reçus,avions été reçus
recevoir,vous,recevrez,avez reçu,aviez reçu,serez reçus,avez été reçus,aviez été reçus
recevoir,ils,recevront,ont reçu,avaient reçu,seront reçus,ont été reçus,avaient été reçus
recevoir,elles,recevront,ont reçu,avaient reçu,seront reçus,ont été reçus,avaient été reçus
faire,je,ferai,ai fait,avais fait,serai fait,ai été fait,avais été fait
faire,tu,feras,as fait,avais fait,seras fait,as été fait,avais été fait
faire,il,fera,a fait,avait fait,sera fait,a été fait,avait été fait
faire,elle,fera,a fait,avait fait,sera fait,a été fait,avait été fait
faire,on,fera,a fait,avait fait,sera fait,a été fait,avait été fait
faire,nous,ferons,avons fait,avions fait,serons faits,avons été faits,avions été faits
faire,vous,ferez,avez fait,aviez fait,serez faits,avez été faits,aviez été faits
faire,ils,feront,ont fait,avaient fait,seront faits,ont été faits,avaient été faits
faire,elles,feront,ont fait,avaient fait,seront faits,ont été faits,avaient été faits
