time_specs,poss_masc,poss_fem,poss_fem_vowel,poss_pl,det_masc,det_fem,det_pl,quant_masc,quant_fem,det_poss_tf,subject_sg,gender_subj_sg,context_gender_sg,subject_pl,gender_subj_pl,context_gender_pl,subjects_pron,adverbs
Au début de janvier,mon,ma,mon,mes,le,la,les,quelques,quelques,F,acteur,M,M,acteurs,M,M,je,apparemment
À la mi-janvier,ton,ta,ton,tes,l',l',des,plusieurs,plusieurs,F,actrice,F,F,actrices,F,F,tu,certainement
À la fin janvier,son,sa,son,ses,un,une,,certains,certaines,T,conseiller,M,M,conseillers,M,M,il,clairement
Au début de février,notre,notre,notre,nos,,,,beaucoup de,beaucoup de,T,conseillère,F,F,conseillères,F,F,elle,évidemment
À la mi-février,votre,votre,votre,vos,,,,peu de,peu de,F,candidat,M,M,candidats,M,M,nous,finalement
À la fin février,leur,leur,leur,leurs,,,,,,F,candidate,F,F,candidates,F,F,vous,habituellement
Au début de mars,,,,,,,,,,F,architecte,M/F,M,architectes,MF,M,,heureusement
À la mi-mars,,,,,,,,,,F,architecte,M/F,F,architectes,MF,F,,malheureusement
À la fin mars,,,,,,,,,,T,assistant,M,M,assistants,M,M,,manifestement
Au début d'avril,,,,,,,,,,T,assistante,F,F,assistantes,F,F,,naturellement
À la mi-avril,,,,,,,,,,F,athlète,M/F,M,athlètes,MF,M,,probablement
À la fin avril,,,,,,,,,,F,athlète,M/F,F,athlètes,MF,F,,rarement
Au début de mai,,,,,,,,,,F,préposé,M,M,préposés,M,M,,remarquablement
À la mi-mai,,,,,,,,,,F,préposée,F,F,préposées,F,F,,souvent
À la fin mai,,,,,,,,,,T,tante,F,F,tantes,F,F,,inévitablement
Au début de juin,,,,,,,,,,F,boulanger,M,M,boulangers,M,M,,
À la mi-juin,,,,,,,,,,F,boulangère,F,F,boulangères,F,F,,
À la fin juin,,,,,,,,,,T,coiffeur,M,M,coiffeurs,M,M,,
Au début de juillet,,,,,,,,,,T,coiffeuse,F,F,coiffeuses,F,F,,
À la mi-juillet,,,,,,,,,,F,garçon,M,M,garçons,M,M,,
À la fin juillet,,,,,,,,,,T,frère,M,M,frères,M,M,,
Au début d'août,,,,,,,,,,T,sur,F,F,surs,F,F,,
À la mi-août,,,,,,,,,,F,capitaine,M/F,M,capitaines,MF,M,,
À la fin août,,,,,,,,,,F,capitaine,M/F,F,capitaines,MF,F,,
Au début de septembre,,,,,,,,,,F,caissier,M,M,caissiers,M,M,,
À la mi-septembre,,,,,,,,,,F,caissière,F,F,caissières,F,F,,
À la fin septembre,,,,,,,,,,F,président,M,M,présidents,M,M,,
Au début d'octobre,,,,,,,,,,F,présidente,F,F,présidentes,F,F,,
À la mi-octobre,,,,,,,,,,F,chef,M,M,chefs,M,M,,
À la fin octobre,,,,,,,,,,F,cheffe,F,F,cheffes,F,F,,
Au début de novembre,,,,,,,,,,F,citoyen,M,M,citoyens,M,M,,
À la mi-novembre,,,,,,,,,,F,citoyenne,F,F,citoyennes,F,F,,
À la fin novembre,,,,,,,,,,T,camarade de classe,M/F,M,camarades de classe,MF,M,,
Au début de décembre,,,,,,,,,,T,camarade de classe,M/F,F,camarades de classe,MF,F,,
À la mi-décembre,,,,,,,,,,F,employé de bureau,M,M,employés de bureau,M,M,,
À la fin décembre,,,,,,,,,,F,employée de bureau,F,F,employées de bureau,F,F,,
Pendant le week-end,,,,,,,,,,F,client,M,M,clients,M,M,,
Avant le week-end,,,,,,,,,,F,cliente,F,F,clientes,F,F,,
Après le week-end,,,,,,,,,,T,collègue,M/F,M,collègues,MF,M,,
Pendant la nuit,,,,,,,,,,T,collègue,M/F,F,collègues,MF,F,,
Avant la nuit,,,,,,,,,,T,compagnon,M,M,compagnons,M,M,,
Après la nuit,,,,,,,,,,T,compagne,F,F,compagnes,F,F,,
Pendant l'après-midi,,,,,,,,,,T,consultant,M,M,consultants,M,M,,
Avant l'après-midi,,,,,,,,,,T,consultante,F,F,consultantes,F,F,,
Après l'après-midi,,,,,,,,,,T,cousin,M,M,cousins,M,M,,
Pendant la soirée,,,,,,,,,,T,cousine,F,F,cousines,F,F,,
Avant la soirée,,,,,,,,,,F,concepteur,M,M,concepteurs,M,M,,
Après la soirée,,,,,,,,,,F,conceptrice,F,F,conceptrices,F,F,,
Pendant la matinée,,,,,,,,,,F,détective,M/F,M,détectives,MF,M,,
Avant la matinée,,,,,,,,,,F,détective,M/F,F,détectives,MF,F,,
Après la matinée,,,,,,,,,,F,directeur,M,M,directeurs,M,M,,
Pendant la cérémonie,,,,,,,,,,F,directrice,F,F,directrices,F,F,,
Avant la cérémonie,,,,,,,,,,T,médecin,M/F,M,médecins,MF,M,,
Après la cérémonie,,,,,,,,,,T,médecin,M/F,F,médecins,MF,F,,
Pendant la conférence,,,,,,,,,,F,conducteur,M,M,conducteurs,M,M,,
Avant la conférence,,,,,,,,,,F,conductrice,F,F,conductrices,F,F,,
Après la conférence,,,,,,,,,,T,employé,M,M,employés,M,M,,
Pendant le congrès,,,,,,,,,,T,employée,F,F,employées,F,F,,
Avant le congrès,,,,,,,,,,F,ingénieur,M,M,ingénieurs,M,M,,
Après le congrès,,,,,,,,,,F,ingénieure,F,F,ingénieures,F,F,,
Pendant la célébration,,,,,,,,,,F,examinateur,M,M,examinateurs,M,M,,
Avant la célébration,,,,,,,,,,F,examinatrice,F,F,examinatrices,F,F,,
Après la célébration,,,,,,,,,,F,agriculteur,M,M,agriculteurs,M,M,,
Pendant la répétition,,,,,,,,,,F,agricultrice,F,F,agricultrices,F,F,,
Avant la répétition,,,,,,,,,,T,père,M,M,pères,M,M,,
Après la répétition,,,,,,,,,,F,pompier,M,M,pompiers,M,M,,
Pendant les vacances,,,,,,,,,,F,pompière,F,F,pompières,F,F,,
Avant les vacances,,,,,,,,,,T,ami,M,M,amis,M,M,,
Après les vacances,,,,,,,,,,T,amie,F,F,amies,F,F,,
Pendant les congés,,,,,,,,,,F,jardinier,M,M,jardiniers,M,M,,
Avant les congés,,,,,,,,,,F,jardinière,F,F,jardinières,F,F,,
Après les congés,,,,,,,,,,F,fille,F,F,filles,F,F,,
Pendant la séance,,,,,,,,,,T,grand-père,M,M,grands-pères,M,M,,
Avant la séance,,,,,,,,,,T,grand-mère,F,F,grands-mères,F,F,,
Après la séance,,,,,,,,,,F,gardien,M,M,gardiens,M,M,,
Avant le départ,,,,,,,,,,F,gardienne,F,F,gardiennes,F,F,,
Après le départ,,,,,,,,,,T,invité,M,M,invités,M,M,,
Avant l'arrivée,,,,,,,,,,T,invitée,F,F,invitées,F,F,,
Après l'arrivée,,,,,,,,,,T,hôte,M/F,M,hôtes,MF,M,,
Juste avant le petit-déjeuner,,,,,,,,,,T,hôte,M/F,F,hôtes,MF,F,,
Juste après le petit-déjeuner,,,,,,,,,,T,hôtesse,F,F,hôtesses,F,F,,
Juste avant le déjeuner,,,,,,,,,,T,mari,M,M,maris,M,M,,
Juste après le déjeuner,,,,,,,,,,F,stagiaire,M/F,M,stagiaires,MF,M,,
Juste avant le dîner,,,,,,,,,,F,stagiaire,M/F,F,stagiaires,MF,F,,
Juste après le dîner,,,,,,,,,,T,intervieweur,M,M,intervieweurs,M,M,,
Juste avant le souper,,,,,,,,,,T,intervieweuse,F,F,intervieweuses,F,F,,
Juste après le souper,,,,,,,,,,F,enquêteur,M,M,enquêteurs,M,M,,
Juste avant le brunch,,,,,,,,,,F,enquêtrice,F,F,enquêtrices,F,F,,
Juste après le brunch,,,,,,,,,,F,journaliste,M/F,M,journalistes,MF,M,,
Juste avant le dessert,,,,,,,,,,F,journaliste,M/F,F,journalistes,MF,F,,
Juste après le dessert,,,,,,,,,,F,juge,M/F,M,juges,MF,M,,
Juste avant minuit,,,,,,,,,,F,juge,M/F,F,juges,MF,F,,
Juste après minuit,,,,,,,,,,T,avocat,M,M,avocats,M,M,,
Juste avant le lever du soleil,,,,,,,,,,T,avocate,F,F,avocates,F,F,,
Juste après le lever du soleil,,,,,,,,,,F,dirigeant,M,M,dirigeants,M,M,,
Juste avant le coucher du soleil,,,,,,,,,,F,dirigeante,F,F,dirigeantes,F,F,,
Juste après le coucher du soleil,,,,,,,,,,F,bibliothécaire,M/F,M,bibliothécaires,MF,M,,
Juste avant le coucher,,,,,,,,,,F,bibliothécaire,M/F,F,bibliothécaires,MF,F,,
Juste après le coucher,,,,,,,,,,F,mécanicien,M,M,mécaniciens,M,M,,
Bien avant le petit-déjeuner,,,,,,,,,,F,mécanicienne,F,F,mécaniciennes,F,F,,
Bien après le petit-déjeuner,,,,,,,,,,F,membre,M/F,M,membres,MF,M,,
Bien avant le déjeuner,,,,,,,,,,F,membre,M/F,F,membres,MF,F,,
Bien après le déjeuner,,,,,,,,,,T,mère,F,F,mères,F,F,,
Bien avant le dîner,,,,,,,,,,F,musicien,M,M,musiciens,M,M,,
Bien après le dîner,,,,,,,,,,F,musicienne,F,F,musiciennes,F,F,,
Bien avant le souper,,,,,,,,,,T,voisin,M,M,voisins,M,M,,
Bien après le souper,,,,,,,,,,T,voisine,F,F,voisines,F,F,,
Bien avant le brunch,,,,,,,,,,F,infirmier,M,M,infirmiers,M,M,,
Bien après le brunch,,,,,,,,,,F,infirmière,F,F,infirmières,F,F,,
Bien avant minuit,,,,,,,,,,F,observateur,M,M,observateurs,M,M,,
Bien après minuit,,,,,,,,,,F,observatrice,F,F,observatrices,F,F,,
Bien avant le lever du soleil,,,,,,,,,,F,agent,M/F,M,agents,MF,M,,
Bien après le lever du soleil,,,,,,,,,,F,agent,M/F,F,agents,MF,F,,
Bien avant le coucher du soleil,,,,,,,,,,F,organisateur,M,M,organisateurs,M,M,,
Bien après le coucher du soleil,,,,,,,,,,F,organisatrice,F,F,organisatrices,F,F,,
Bien avant le coucher,,,,,,,,,,F,participant,M,M,participants,M,M,,
Bien après le coucher,,,,,,,,,,F,participante,F,F,participantes,F,F,,
Pendant cette période,,,,,,,,,,T,partenaire,M/F,M,partenaires,MF,M,,
Après cette période,,,,,,,,,,T,partenaire,M/F,F,partenaires,MF,F,,
Avant cette période,,,,,,,,,,F,passager,M,M,passagers,M,M,,
Pendant cette année,,,,,,,,,,F,passagère,F,F,passagères,F,F,,
Avant cette année,,,,,,,,,,F,patient,M,M,patients,M,M,,
Après cette année,,,,,,,,,,F,patiente,F,F,patientes,F,F,,
Pendant le voyage,,,,,,,,,,F,piéton,M,M,piétons,M,M,,
Après le voyage,,,,,,,,,,F,piétonne,F,F,piétonnes,F,F,,
Avant le voyage,,,,,,,,,,F,pilote,M/F,M,pilotes,MF,M,,
Bien avant janvier,,,,,,,,,,F,pilote,M/F,F,pilotes,MF,F,,
Bien après janvier,,,,,,,,,,F,policier,M,M,policiers,M,M,,
Bien avant février,,,,,,,,,,F,policière,F,F,policières,F,F,,
Bien après février,,,,,,,,,,T,professeur,M/F,M,professeurs,MF,M,,
Bien avant mars,,,,,,,,,,T,professeur,M/F,F,professeurs,MF,F,,
Bien après mars,,,,,,,,,,F,lecteur,M,M,lecteurs,M,M,,
Bien avant avril,,,,,,,,,,F,lectrice,F,F,lectrices,F,F,,
Bien après avril,,,,,,,,,,F,réceptionniste,M/F,M,réceptionnistes,MF,M,,
Bien avant mai,,,,,,,,,,F,réceptionniste,M/F,F,réceptionnistes,MF,F,,
Bien après mai,,,,,,,,,,T,représentant,M,M,représentants,M,M,,
Bien avant juin,,,,,,,,,,T,représentante,F,F,représentantes,F,F,,
Bien après juin,,,,,,,,,,T,chercheur,M,M,chercheurs,M,M,,
Bien avant juillet,,,,,,,,,,T,chercheuse,F,F,chercheuses,F,F,,
Bien après juillet,,,,,,,,,,T,résident,M,M,résidents,M,M,,
Bien avant août,,,,,,,,,,T,résidente,F,F,résidentes,F,F,,
Bien après août,,,,,,,,,,T,colocataire,M/F,M,colocataires,MF,M,,
Bien avant septembre,,,,,,,,,,T,colocataire,M/F,F,colocataires,MF,F,,
Bien après septembre,,,,,,,,,,F,marin,M,M,marins,M,M,,
Bien avant octobre,,,,,,,,,,F,marine,F,F,marines,F,F,,
Bien après octobre,,,,,,,,,,F,scientifique,M/F,M,scientifiques,MF,M,,
Bien avant novembre,,,,,,,,,,F,scientifique,M/F,F,scientifiques,MF,F,,
Bien après novembre,,,,,,,,,,F,secrétaire,M/F,M,secrétaires,MF,M,,
Bien avant décembre,,,,,,,,,,F,secrétaire,M/F,F,secrétaires,MF,F,,
Bien après décembre,,,,,,,,,,F,soldat,M/F,M,soldats,MF,M,,
Lors du lancement,,,,,,,,,,F,soldat,M/F,F,soldats,MF,F,,
Lors de la séance d'orientation,,,,,,,,,,F,orateur,M,M,orateurs,M,M,,
Lors de la réunion,,,,,,,,,,F,oratrice,F,F,oratrices,F,F,,
Lors de la discussion,,,,,,,,,,F,étranger,M,M,étrangers,M,M,,
Lors de la conférence,,,,,,,,,,F,étrangère,F,F,étrangères,F,F,,
Lors de la réunion de retrouvailles,,,,,,,,,,F,étudiant,M,M,étudiants,M,M,,
Lors de l'ouverture,,,,,,,,,,F,étudiante,F,F,étudiantes,F,F,,
Lors de la clôture,,,,,,,,,,T,superviseur,M,M,superviseurs,M,M,,
Lors de la conclusion,,,,,,,,,,T,superviseuse,F,F,superviseuses,F,F,,
Lors de la fin,,,,,,,,,,F,survivant,M,M,survivants,M,M,,
Lors du début,,,,,,,,,,F,survivante,F,F,survivantes,F,F,,
Dès le départ,,,,,,,,,,T,enseignant,M,M,enseignants,M,M,,
Lors de la cérémonie,,,,,,,,,,T,enseignante,F,F,enseignantes,F,F,,
Lors de la réception,,,,,,,,,,T,coéquipier,M,M,coéquipiers,M,M,,
À la gare,,,,,,,,,,T,coéquipière,F,F,coéquipières,F,F,,
À l'aéroport,,,,,,,,,,F,technicien,M,M,techniciens,M,M,,
Au bureau,,,,,,,,,,F,technicienne,F,F,techniciennes,F,F,,
